Serial no;Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event
9978;788;00:00:22.390000;Pam Marshall;USA;16.08.1960;2.0;Indianapolis;16.06.1985;Women;200 m
9979;788;00:00:22.390000;Grace Jackson;JAM;14.06.1961;2.0;San José;31.05.1986;Women;200 m
9980;788;00:00:22.390000;Alice Brown;USA;20.09.1960;5.0;Indianapolis;23.07.1988;Women;200 m
9981;788;00:00:22.390000;Dannette Young;USA;06.10.1964;1.0;Bruxelles;19.08.1988;Women;200 m
9982;788;00:00:22.390000;Galina Malchugina;RUS;17.12.1962;1.0;Moskva;24.06.1992;Women;200 m
9983;788;00:00:22.390000;Michelle Burrell;USA;08.05.1965;4.0;Barcelona;05.08.1992;Women;200 m
9984;788;00:00:22.390000;Dannette Young;USA;06.10.1964;1.0;Knoxville;08.04.1994;Women;200 m
9985;788;00:00:22.390000;Susanthika Jayasinghe;SRI;17.12.1975;2.0;Athínai;08.08.1997;Women;200 m
9986;788;00:00:22.390000;Zhanna Block;UKR;06.07.1972;3.0;Zürich;13.08.1997;Women;200 m
9987;788;00:00:22.390000;Beverly McDonald;JAM;15.02.1970;2.0;Bruxelles;28.08.1998;Women;200 m
9988;788;00:00:22.390000;Beverly McDonald;JAM;15.02.1970;1.0;Kingston;19.06.1999;Women;200 m
9989;788;00:00:22.390000;Beverly McDonald;JAM;15.02.1970;3.0;Paris;21.07.1999;Women;200 m
9990;788;00:00:22.390000;LaTasha Jenkins;USA;19.12.1977;1.0;Eugene;23.06.2001;Women;200 m
9991;788;00:00:22.390000;Debbie Ferguson-McKenzie;BAH;16.01.1976;1.0;Edmonton;09.08.2001;Women;200 m
9992;788;00:00:22.390000;Veronica Campbell-Brown;JAM;16.05.1982;1.0;Odessa;18.05.2002;Women;200 m
9993;788;00:00:22.390000;Allyson Felix;USA;18.11.1985;1.0;Athínai;23.08.2004;Women;200 m
9994;788;00:00:22.390000;LaTasha Colander;USA;23.08.1976;3.0;Carson;22.05.2005;Women;200 m
9995;788;00:00:22.390000;Cydonie Mothersille;CAY;19.03.1978;1.0;Nassau;10.07.2005;Women;200 m
9996;788;00:00:22.390000;Christine Arron;FRA;13.09.1973;1.0;Angers;16.07.2005;Women;200 m
9997;788;00:00:22.390000;Svetlana Pospelyova;RUS;11.03.1969;1.0;Tula;24.07.2005;Women;200 m
9998;788;00:00:22.390000;Veronica Campbell-Brown;JAM;16.05.1982;1.0;Kingston;24.06.2007;Women;200 m
9999;788;00:00:22.390000;Kimberlyn Duncan;USA;02.08.1991;1.0;Des Moines;09.06.2011;Women;200 m
10000;788;00:00:22.390000;Bianca Knight;USA;02.01.1989;1.0;Eugene;25.06.2011;Women;200 m
10001;788;00:00:22.390000;Carmelita Jeter;USA;24.11.1979;2.0;London;07.08.2012;Women;200 m
10002;788;00:00:22.390000;Sanya Richards-Ross;USA;26.02.1985;5.0;London;08.08.2012;Women;200 m
10003;788;00:00:22.390000;Blessing Okagbare;NGR;10.09.1988;2.0;Moskva;15.08.2013;Women;200 m
10004;788;00:00:22.390000;Kyra Jefferson;USA;23.09.1994;1.0;Starkville;16.05.2015;Women;200 m
10005;788;00:00:22.390000;Dafne Schippers;NED;15.06.1992;;Götzis;30.05.2015;Women;200 m
10006;788;00:00:22.390000;Candyce McGrone;USA;24.03.1989;1.0;Sotteville-lès-Rouen;06.07.2015;Women;200 m
10007;788;00:00:22.390000;Jenna Prandini;USA;20.11.1992;2.0;Kingston;11.06.2016;Women;200 m
10008;823;00:00:22.400000;Renate Stecher;GDR;12.05.1950;1.0;München;07.09.1972;Women;200 m
10009;823;00:00:22.400000;Marita Koch;GDR;18.02.1957;1.0;Karl-Marx-Stadt;27.05.1979;Women;200 m
10010;823;00:00:22.400000;Lyudmila Kondratyeva;RUS;11.04.1958;1.0;Torino;05.08.1979;Women;200 m
10011;823;00:00:22.400000;Jarmila Kratochvílová;CZE;26.01.1951;1.0;Pescara;02.08.1981;Women;200 m
10012;823;00:00:22.400000;Evelyn Ashford;USA;15.04.1957;1.0;Indianapolis;19.06.1983;Women;200 m
10013;823;00:00:22.400000;Jarmila Kratochvílová;CZE;26.01.1951;1.0;London;21.08.1983;Women;200 m
10014;823;00:00:22.400000;Marita Koch;GDR;18.02.1957;2.0;London;21.08.1983;Women;200 m
10015;823;00:00:22.400000;Florence Griffith-Joyner;USA;21.12.1959;2.0;Los Angeles;22.06.1984;Women;200 m
10016;823;00:00:22.400000;Gwen Torrence;USA;12.06.1965;5.0;Roma;03.09.1987;Women;200 m
10017;823;00:00:22.400000;Grace Jackson;JAM;14.06.1961;1.0;London;08.07.1988;Women;200 m
10018;823;00:00:22.400000;Dannette Young;USA;06.10.1964;2.0;Nice;10.07.1990;Women;200 m
10019;823;00:00:22.400000;Silke Knoll;GER;21.02.1967;5.0;Split;30.08.1990;Women;200 m
10020;823;00:00:22.400000;Gwen Torrence;USA;12.06.1965;1.0;Des Moines;30.04.1994;Women;200 m
10021;823;00:00:22.400000;Carlette Guidry;USA;04.09.1968;2.0;Bruxelles;19.08.1994;Women;200 m
10022;823;00:00:22.400000;Merlene Ottey;JAM;10.05.1960;3.0;Athínai;08.08.1997;Women;200 m
10023;823;00:00:22.400000;Inger Miller;USA;12.06.1972;4.0;Monaco;16.08.1997;Women;200 m
10024;823;00:00:22.400000;Cydonie Mothersille;CAY;19.03.1978;1.0;Athínai;23.08.2004;Women;200 m
10025;823;00:00:22.400000;Veronica Campbell-Brown;JAM;16.05.1982;1.0;Kingston;28.06.2009;Women;200 m
10026;823;00:00:22.400000;Connie Moore;USA;27.08.1981;1.0;Des Moines;27.06.2010;Women;200 m
10027;823;00:00:22.400000;Allyson Felix;USA;18.11.1985;2.0;Zürich;08.09.2011;Women;200 m
10028;823;00:00:22.400000;LaShauntea Moore;USA;31.07.1983;1.0;Des Moines;22.06.2013;Women;200 m
10029;823;00:00:22.400000;Shelly-Ann Fraser-Pryce;JAM;27.12.1986;1.0;Zürich;29.08.2013;Women;200 m
10030;823;00:00:22.400000;Joanna Atkins;USA;31.01.1989;1.0;Clermont;14.05.2016;Women;200 m
10031;846;00:00:22.410000;Irena Szewinska;POL;24.05.1946;1.0;Augsburg;13.07.1974;Women;200 m
10032;846;00:00:22.410000;Irena Szewinska;POL;24.05.1946;1.0;Zürich;16.08.1974;Women;200 m
10033;846;00:00:22.410000;Irena Szewinska;POL;24.05.1946;1.0;Fürth;13.06.1976;Women;200 m
10034;846;00:00:22.410000;Bärbel Wöckel;GDR;21.03.1955;3.0;Roma;04.09.1981;Women;200 m
10035;846;00:00:22.410000;Merlene Ottey;JAM;10.05.1960;1.0;Oslo;26.06.1982;Women;200 m
10036;846;00:00:22.410000;Merlene Ottey;JAM;10.05.1960;1.0;Burnaby;16.06.1983;Women;200 m
10037;846;00:00:22.410000;Alice Brown;USA;20.09.1960;5.0;Indianapolis;19.06.1983;Women;200 m
10038;846;00:00:22.410000;Dannette Young;USA;06.10.1964;2.0;Linz;05.07.1991;Women;200 m
10039;846;00:00:22.410000;Carlette Guidry;USA;04.09.1968;1.0;New Orleans;27.06.1992;Women;200 m
10040;846;00:00:22.410000;Galina Malchugina;RUS;17.12.1962;5.0;Zürich;19.08.1992;Women;200 m
10041;846;00:00:22.410000;Galina Malchugina;RUS;17.12.1962;3.0;København;25.08.1992;Women;200 m
10042;846;00:00:22.410000;Holli Hyche;USA;06.09.1971;1.0;Boise;03.06.1994;Women;200 m
10043;846;00:00:22.410000;Merlene Ottey;JAM;10.05.1960;3.0;Zürich;17.08.1994;Women;200 m
10044;846;00:00:22.410000;Inger Miller;USA;12.06.1972;4.0;Atlanta;01.08.1996;Women;200 m
10045;846;00:00:22.410000;Beverly McDonald;JAM;15.02.1970;2.0;Roma;07.07.1999;Women;200 m
10046;846;00:00:22.410000;Myriam Mani;CMR;21.05.1977;1.0;Kuoro;21.05.2000;Women;200 m
10047;846;00:00:22.410000;Muriel Hurtis;FRA;25.03.1979;1.0;Saint-Denis;27.08.2003;Women;200 m
10048;846;00:00:22.410000;Muriel Hurtis;FRA;25.03.1979;2.0;Monaco;13.09.2003;Women;200 m
10049;846;00:00:22.410000;Veronica Campbell-Brown;JAM;16.05.1982;1.0;Oxford;16.05.2004;Women;200 m
10050;846;00:00:22.410000;Rachelle Smith;USA;30.06.1981;1.0;Carson;26.06.2005;Women;200 m
10051;846;00:00:22.410000;Kerron Stewart;JAM;16.04.1984;1.0;Columbia;26.05.2007;Women;200 m
10052;846;00:00:22.410000;Shalonda Solomon;USA;19.12.1985;1.0;Walnut;06.06.2009;Women;200 m
10053;846;00:00:22.410000;Debbie Ferguson-McKenzie;BAH;16.01.1976;3.0;Berlin;21.08.2009;Women;200 m
10054;846;00:00:22.410000;Allyson Felix;USA;18.11.1985;1.0;Stockholm;06.08.2010;Women;200 m
10055;846;00:00:22.410000;Shalonda Solomon;USA;19.12.1985;1.0;Edmonton;29.06.2013;Women;200 m
10056;846;00:00:22.410000;Allyson Felix;USA;18.11.1985;1.0;London;27.07.2013;Women;200 m
10057;846;00:00:22.410000;Jeneba Tarmoh;USA;27.09.1989;1.0;Sacramento;29.06.2014;Women;200 m
10058;846;00:00:22.410000;Blessing Okagbare;NGR;10.09.1988;3.0;Glasgow;12.07.2014;Women;200 m
10059;846;00:00:22.410000;Dina Asher-Smith;GBR;04.12.1995;5.0;Monaco;17.07.2015;Women;200 m
10060;846;00:00:22.410000;Ivet Lalova-Collio;BUL;18.05.1984;7.0;Beijing;28.08.2015;Women;200 m
10061;876;00:00:22.420000;Merlene Ottey;JAM;10.05.1960;2.0;London;08.08.1980;Women;200 m
10062;876;00:00:22.420000;Gesine Walther;GDR;06.10.1962;1.0;Potsdam;29.08.1981;Women;200 m
10063;876;00:00:22.420000;Nadezhda Georgieva;BUL;02.09.1961;1.0;Sofia;22.05.1983;Women;200 m
10064;876;00:00:22.420000;Florence Griffith-Joyner;USA;21.12.1959;2.0;Houston;04.06.1983;Women;200 m
10065;876;00:00:22.420000;Bärbel Wöckel;GDR;21.03.1955;2.0;Karl-Marx-Stadt;18.06.1983;Women;200 m
10066;876;00:00:22.420000;Ewa Kasprzyk;POL;07.09.1957;1.0;Sopot;05.08.1984;Women;200 m
10067;876;00:00:22.420000;Evette de Klerk;RSA;21.08.1965;1.0;Johannesburg;18.04.1986;Women;200 m
10068;876;00:00:22.420000;Mariya Pinigina;UKR;09.02.1958;1.0;Tsakhkadzor;23.05.1987;Women;200 m
10069;876;00:00:22.420000;Galina Malchugina;RUS;17.12.1962;8.0;Seoul;29.09.1988;Women;200 m
10070;876;00:00:22.420000;Katrin Krabbe;GER;22.11.1969;1.0;Chemnitz;17.06.1990;Women;200 m
10071;876;00:00:22.420000;Grace Jackson;JAM;14.06.1961;3.0;Nice;10.07.1990;Women;200 m
10072;876;00:00:22.420000;Dannette Young;USA;06.10.1964;3.0;Zürich;07.08.1991;Women;200 m
10073;876;00:00:22.420000;Michelle Burrell;USA;08.05.1965;2.0;Barcelona;03.08.1992;Women;200 m
10074;876;00:00:22.420000;Carlette Guidry;USA;04.09.1968;3.0;Sankt Peterburg;25.07.1994;Women;200 m
10075;876;00:00:22.420000;Marie-José Pérec;FRA;09.05.1968;1.0;Hechtel;06.07.1996;Women;200 m
10076;876;00:00:22.420000;Mary Onyali;NGR;03.02.1968;2.0;Atlanta;31.07.1996;Women;200 m
10077;876;00:00:22.420000;Mary Onyali;NGR;03.02.1968;1.0;Bruxelles;23.08.1996;Women;200 m
10078;876;00:00:22.420000;Tania Van Heer-Murphy;AUS;30.12.1970;1.0;Canberra;06.02.1999;Women;200 m
10079;876;00:00:22.420000;Zhanna Block;UKR;06.07.1972;4.0;Paris;21.07.1999;Women;200 m
10080;876;00:00:22.420000;Fatima Yusuf;NGR;02.05.1971;6.0;Sevilla;27.08.1999;Women;200 m
10081;876;00:00:22.420000;Melinda Gainsford-Taylor;AUS;01.10.1971;5.0;Sydney;28.09.2000;Women;200 m
10082;876;00:00:22.420000;Aleen Bailey;JAM;25.11.1980;4.0;Athínai;25.08.2004;Women;200 m
10083;876;00:00:22.420000;Kerron Stewart;JAM;16.04.1984;1.0;Sacramento;09.06.2007;Women;200 m
10084;876;00:00:22.420000;Kerron Stewart;JAM;16.04.1984;3.0;Thessaloníki;12.09.2009;Women;200 m
10085;876;00:00:22.420000;Allyson Felix;USA;18.11.1985;3.0;Daegu;02.09.2011;Women;200 m
10086;876;00:00:22.420000;Murielle Ahouré;CIV;23.08.1987;1.0;Oslo;07.06.2012;Women;200 m
10087;876;00:00:22.420000;Veronica Campbell-Brown;JAM;16.05.1982;3.0;Kingston;01.07.2012;Women;200 m
10088;876;00:00:22.420000;Natalya Rusakova;RUS;12.12.1980;1.0;Cheboksary;06.07.2012;Women;200 m
10089;876;00:00:22.420000;Natalya Rusakova;RUS;12.12.1980;2.0;Cheboksary;06.07.2012;Women;200 m
10090;876;00:00:22.420000;Jenna Prandini;USA;20.11.1992;1.0;Walnut;18.04.2015;Women;200 m
10091;876;00:00:22.420000;Jenna Prandini;USA;20.11.1992;1.0;Houston;23.07.2016;Women;200 m
10092;876;00:00:22.420000;Ivet Lalova-Collio;BUL;18.05.1984;2.0;Rio de Janeiro;16.08.2016;Women;200 m
10093;908;00:00:22.430000;Irena Szewinska;POL;24.05.1946;1.0;Warszawa;20.07.1974;Women;200 m
10094;908;00:00:22.430000;Merlene Ottey;JAM;10.05.1960;2.0;Zürich;13.08.1980;Women;200 m
10095;908;00:00:22.430000;Merlene Ottey;JAM;10.05.1960;2.0;Budapest;11.08.1986;Women;200 m
10096;908;00:00:22.430000;Valerie Brisco;USA;06.07.1960;3.0;Zürich;19.08.1987;Women;200 m
10097;908;00:00:22.430000;Merlene Ottey;JAM;10.05.1960;1.0;Roma;03.09.1987;Women;200 m
10098;908;00:00:22.430000;Pam Marshall;USA;16.08.1960;1.0;München;09.09.1987;Women;200 m
10099;908;00:00:22.430000;Dannette Young;USA;06.10.1964;1.0;Villeneuve d'Ascq;27.06.1988;Women;200 m
10100;908;00:00:22.430000;Grace Jackson;JAM;14.06.1961;2.0;Villeneuve d'Ascq;27.06.1988;Women;200 m
10101;908;00:00:22.430000;Mary Onyali;NGR;03.02.1968;5.0;Seoul;29.09.1988;Women;200 m
10102;908;00:00:22.430000;Juliet Cuthbert;JAM;09.04.1964;2.0;Nice;15.07.1992;Women;200 m
10103;908;00:00:22.430000;Gwen Torrence;USA;12.06.1965;1.0;São Paulo;14.05.1995;Women;200 m
10104;908;00:00:22.430000;Melinda Gainsford-Taylor;AUS;01.10.1971;4.0;Monaco;25.07.1995;Women;200 m
10105;908;00:00:22.430000;Galina Malchugina;RUS;17.12.1962;3.0;Zürich;16.08.1995;Women;200 m
10106;908;00:00:22.430000;Merlene Ottey;JAM;10.05.1960;1.0;Hechtel;07.08.1999;Women;200 m
10107;908;00:00:22.430000;Melinda Gainsford-Taylor;AUS;01.10.1971;1.0;Hobart;30.01.2000;Women;200 m
10108;908;00:00:22.430000;Debbie Ferguson-McKenzie;BAH;16.01.1976;1.0;Lausanne;05.07.2000;Women;200 m
10109;908;00:00:22.430000;Muriel Hurtis;FRA;25.03.1979;1.0;München;09.08.2002;Women;200 m
10110;908;00:00:22.430000;Anastasiya Kapachinskaya;RUS;21.11.1979;2.0;Saint-Denis;27.08.2003;Women;200 m
10111;908;00:00:22.430000;Christine Arron;FRA;13.09.1973;3.0;Monaco;10.09.2005;Women;200 m
10112;908;00:00:22.430000;Tezdzhan Naimova;BUL;01.05.1987;1.0;Sofia;17.06.2007;Women;200 m
10113;908;00:00:22.430000;Sanya Richards-Ross;USA;26.02.1985;2.0;Indianapolis;24.06.2007;Women;200 m
10114;908;00:00:22.430000;Bianca Knight;USA;02.01.1989;1.0;New York City;31.05.2008;Women;200 m
10115;908;00:00:22.430000;Sherone Simpson;JAM;12.08.1984;1.0;Berlin;01.06.2008;Women;200 m
10116;908;00:00:22.430000;Shalonda Solomon;USA;19.12.1985;2.0;New York City;30.05.2009;Women;200 m
10117;908;00:00:22.430000;Aleksandra Fedoriva;RUS;13.09.1988;1.0;Cheboksary;06.07.2012;Women;200 m
10118;908;00:00:22.430000;Blessing Okagbare;NGR;10.09.1988;1.0;Glasgow;31.07.2014;Women;200 m
10119;908;00:00:22.430000;Shakima Wimbley;USA;23.04.1995;1.0;Tallahassee;16.05.2015;Women;200 m
10120;908;00:00:22.430000;Candace Hill;USA;11.02.1999;1.0;Cali;19.07.2015;Women;200 m
10121;936;00:00:22.440000;Renate Stecher;GDR;12.05.1950;1.0;Dresden;20.05.1976;Women;200 m
10122;936;00:00:22.440000;Evelyn Ashford;USA;15.04.1957;1.0;Colorado Springs;22.07.1981;Women;200 m
10123;936;00:00:22.440000;Nadezhda Georgieva;BUL;02.09.1961;1.0;Sofia;05.06.1983;Women;200 m
10124;936;00:00:22.440000;Olga Bryzgina;UKR;30.06.1963;1.0;Donetsk;29.08.1985;Women;200 m
10125;936;00:00:22.440000;Gwen Torrence;USA;12.06.1965;1.0;Zagreb;17.07.1987;Women;200 m
10126;936;00:00:22.440000;Nadezhda Georgieva;BUL;02.09.1961;2.0;Sofia;16.08.1987;Women;200 m
10127;936;00:00:22.440000;Silke Möller;GER;20.06.1964;1.0;Roma;01.09.1987;Women;200 m
10128;936;00:00:22.440000;Dannette Young;USA;06.10.1964;1.0;Indianapolis;22.07.1988;Women;200 m
10129;936;00:00:22.440000;Evette de Klerk;RSA;21.08.1965;1.0;Potchefstroom;02.03.1990;Women;200 m
10130;936;00:00:22.440000;Dannette Young;USA;06.10.1964;2.0;New York City;15.06.1991;Women;200 m
10131;936;00:00:22.440000;Gwen Torrence;USA;12.06.1965;1.0;Luzern;06.07.1991;Women;200 m
10132;936;00:00:22.440000;Irina Privalova;RUS;12.11.1968;1.0;Moskva;24.06.1992;Women;200 m
10133;936;00:00:22.440000;Pauline Davis-Thompson;BAH;09.07.1966;3.0;Barcelona;03.08.1992;Women;200 m
10134;936;00:00:22.440000;Galina Malchugina;RUS;17.12.1962;3.0;Barcelona;05.08.1992;Women;200 m
10135;936;00:00:22.440000;Galina Malchugina;RUS;17.12.1962;3.0;Köln;16.08.1992;Women;200 m
10136;936;00:00:22.440000;Galina Malchugina;RUS;17.12.1962;2.0;Rieti;06.09.1992;Women;200 m
10137;936;00:00:22.440000;Zundra Feagin-Alexander;USA;12.07.1973;1.0;Eugene;01.06.1996;Women;200 m
10138;936;00:00:22.440000;Marina Trandenkova;RUS;07.01.1967;2.0;Monachil;09.07.1997;Women;200 m
10139;936;00:00:22.440000;Susanthika Jayasinghe;SRI;17.12.1975;1.0;Athínai;06.08.1997;Women;200 m
10140;936;00:00:22.440000;Li Xuemei;CHN;05.01.1977;1.0;Athínai;06.08.1997;Women;200 m
10141;936;00:00:22.440000;Inger Miller;USA;12.06.1972;3.0;Roma;07.07.1999;Women;200 m
10142;936;00:00:22.440000;Fatima Yusuf;NGR;02.05.1971;4.0;Sevilla;25.08.1999;Women;200 m
10143;936;00:00:22.440000;Pauline Davis-Thompson;BAH;09.07.1966;1.0;Ciudad de México;01.07.2000;Women;200 m
10144;936;00:00:22.440000;Beverly McDonald;JAM;15.02.1970;2.0;Yokohama;09.09.2000;Women;200 m
10145;936;00:00:22.440000;Beverly McDonald;JAM;15.02.1970;1.0;Sydney;27.09.2000;Women;200 m
10146;936;00:00:22.440000;Torri Edwards;USA;31.01.1977;3.0;Saint-Denis;27.08.2003;Women;200 m
10147;936;00:00:22.440000;Sanya Richards-Ross;USA;26.02.1985;2.0;Sheffield;15.07.2007;Women;200 m
10148;936;00:00:22.440000;Veronica Campbell-Brown;JAM;16.05.1982;2.0;Osaka;30.08.2007;Women;200 m
10149;936;00:00:22.440000;Allyson Felix;USA;18.11.1985;1.0;Berlin;20.08.2009;Women;200 m
10150;936;00:00:22.440000;Yelizaveta Bryzgina;UKR;28.11.1989;2.0;Barcelona;31.07.2010;Women;200 m
10151;936;00:00:22.440000;Aleksandra Fedoriva;RUS;13.09.1988;3.0;Barcelona;31.07.2010;Women;200 m
10152;936;00:00:22.440000;Veronica Campbell-Brown;JAM;16.05.1982;1.0;Kingston;26.06.2011;Women;200 m
10153;936;00:00:22.440000;Shalonda Solomon;USA;19.12.1985;2.0;Eugene;26.06.2011;Women;200 m
10154;936;00:00:22.440000;Allyson Felix;USA;18.11.1985;3.0;Eugene;30.05.2014;Women;200 m
10155;936;00:00:22.440000;Jenna Prandini;USA;20.11.1992;1.0;Eugene;28.06.2015;Women;200 m
10156;936;00:00:22.440000;Jeneba Tarmoh;USA;27.09.1989;3.0;Eugene;28.06.2015;Women;200 m
10157;973;00:00:22.450000;Raelene Boyle;AUS;24.06.1951;2.0;München;07.09.1972;Women;200 m
10158;973;00:00:22.450000;Renate Stecher;GDR;12.05.1950;1.0;Berlin;10.07.1976;Women;200 m
10159;973;00:00:22.450000;Evelyn Ashford;USA;15.04.1957;1.0;San Juan;09.07.1979;Women;200 m
10160;973;00:00:22.450000;Marlies Göhr;GDR;21.03.1958;1.0;Erfurt;18.05.1980;Women;200 m
10161;973;00:00:22.450000;Natalya Bochina;RUS;04.01.1962;1.0;Moskva;05.07.1980;Women;200 m
10162;973;00:00:22.450000;Merlene Ottey;JAM;10.05.1960;1.0;Budapest;11.08.1980;Women;200 m
10163;973;00:00:22.450000;Jarmila Kratochvílová;CZE;26.01.1951;1.0;Firenze;10.06.1981;Women;200 m
10164;973;00:00:22.450000;Merlene Ottey;JAM;10.05.1960;1.0;Stillwater;14.05.1983;Women;200 m
10165;973;00:00:22.450000;Natalya Bochina;RUS;04.01.1962;1.0;Kiev;23.06.1984;Women;200 m
10166;973;00:00:22.450000;Heike Drechsler;GER;16.12.1964;1.0;Potsdam;12.06.1986;Women;200 m
10167;973;00:00:22.450000;Silke Möller;GER;20.06.1964;2.0;Tallinn;22.06.1986;Women;200 m
10168;973;00:00:22.450000;Marie-Christine Cazier;FRA;23.08.1963;2.0;Stuttgart;28.08.1986;Women;200 m
10169;973;00:00:22.450000;Mary Onyali;NGR;03.02.1968;2.0;Provo;02.06.1989;Women;200 m
10170;973;00:00:22.450000;Galina Malchugina;RUS;17.12.1962;1.0;Oslo;14.07.1990;Women;200 m
10171;973;00:00:22.450000;Grace Jackson;JAM;14.06.1961;1.0;Bruxelles;10.08.1990;Women;200 m
10172;973;00:00:22.450000;Grit Breuer;GER;16.02.1972;2.0;Köln;08.09.1991;Women;200 m
10173;973;00:00:22.450000;Irina Privalova;RUS;12.11.1968;2.0;Barcelona;03.08.1992;Women;200 m
10174;973;00:00:22.450000;Marie-José Pérec;FRA;09.05.1968;1.0;Koblenz;26.08.1992;Women;200 m
10175;973;00:00:22.450000;Mary Onyali;NGR;03.02.1968;3.0;Bruxelles;03.09.1993;Women;200 m
10176;973;00:00:22.450000;Irina Privalova;RUS;12.11.1968;2.0;Fukuoka;18.09.1993;Women;200 m
10177;973;00:00:22.450000;Melanie Paschke;GER;29.06.1970;1.0;Erfurt;03.07.1994;Women;200 m
10178;973;00:00:22.450000;Silke Knoll;GER;21.02.1967;1.0;Villeneuve d'Ascq;25.06.1995;Women;200 m
10179;973;00:00:22.450000;Carlette Guidry;USA;04.09.1968;5.0;Monaco;25.07.1995;Women;200 m
10180;973;00:00:22.450000;Galina Malchugina;RUS;17.12.1962;2.0;Göteborg;10.08.1995;Women;200 m
10181;973;00:00:22.450000;Inger Miller;USA;12.06.1972;3.0;Atlanta;22.06.1996;Women;200 m
10182;973;00:00:22.450000;Galina Malchugina;RUS;17.12.1962;5.0;Atlanta;01.08.1996;Women;200 m
10183;973;00:00:22.450000;Melinda Gainsford-Taylor;AUS;01.10.1971;1.0;Athínai;06.08.1997;Women;200 m
10184;973;00:00:22.450000;Beverly McDonald;JAM;15.02.1970;1.0;Luzern;02.07.1998;Women;200 m
10185;973;00:00:22.450000;Debbie Ferguson-McKenzie;BAH;16.01.1976;4.0;Roma;07.07.1999;Women;200 m
10186;973;00:00:22.450000;Marion Jones;USA;12.10.1975;1.0;Sevilla;24.08.1999;Women;200 m
10187;973;00:00:22.450000;Fatima Yusuf;NGR;02.05.1971;1.0;Johannesburg;18.09.1999;Women;200 m
10188;973;00:00:22.450000;Susanthika Jayasinghe;SRI;17.12.1975;2.0;Sydney;28.09.2000;Women;200 m
10189;973;00:00:22.450000;Torri Edwards;USA;31.01.1977;2.0;Palo Alto;22.06.2003;Women;200 m
10190;973;00:00:22.450000;Cydonie Mothersille;CAY;19.03.1978;1.0;Saint George´s;06.07.2003;Women;200 m
10191;973;00:00:22.450000;Christine Arron;FRA;13.09.1973;1.0;Helsinki;11.08.2005;Women;200 m
10192;973;00:00:22.450000;Simone Facey;JAM;07.05.1985;2.0;Boulder;18.05.2008;Women;200 m
10193;973;00:00:22.450000;Debbie Ferguson-McKenzie;BAH;16.01.1976;4.0;Thessaloníki;12.09.2009;Women;200 m
10194;973;00:00:22.450000;Cydonie Mothersille;CAY;19.03.1978;2.0;Shanghai;20.09.2009;Women;200 m
10195;973;00:00:22.450000;Debbie Ferguson-McKenzie;BAH;16.01.1976;3.0;Shanghai;20.09.2009;Women;200 m
10196;973;00:00:22.450000;Tameka Williams;SKN;31.08.1989;1.0;Basse Terre;03.06.2012;Women;200 m
10197;973;00:00:22.450000;Shaunae Miller-Uibo;BAH;15.04.1994;2.0;Nassau;22.06.2013;Women;200 m
10198;973;00:00:22.450000;Dezerea Bryant;USA;27.04.1993;1.0;Jacksonville;30.05.2015;Women;200 m
10199;973;00:00:22.450000;Dafne Schippers;NED;15.06.1992;1.0;Iráklio;21.06.2015;Women;200 m
10200;973;00:00:22.450000;Candyce McGrone;USA;24.03.1989;1.0;Beijing;26.08.2015;Women;200 m
10201;973;00:00:22.450000;Deajah Stevens;USA;19.05.1995;1.0;Eugene;09.07.2016;Women;200 m
10202;973;00:00:22.450000;Deajah Stevens;USA;19.05.1995;1.0;Rio de Janeiro;15.08.2016;Women;200 m
10203;973;00:00:22.450000;Dafne Schippers;NED;15.06.1992;2.0;Ad-Dawhah;05.05.2017;Women;200 m
10204;1;00:00:19.190000;Usain Bolt;JAM;21.08.1986;1.0;Berlin;20.08.2009;Men;200 m
10205;2;00:00:19.260000;Yohan Blake;JAM;26.12.1989;1.0;Bruxelles;16.09.2011;Men;200 m
10206;3;00:00:19.300000;Usain Bolt;JAM;21.08.1986;1.0;Beijing;20.08.2008;Men;200 m
10207;4;00:00:19.320000;Michael Johnson;USA;13.09.1967;1.0;Atlanta;01.08.1996;Men;200 m
10208;4;00:00:19.320000;Usain Bolt;JAM;21.08.1986;1.0;London;09.08.2012;Men;200 m
10209;6;00:00:19.400000;Usain Bolt;JAM;21.08.1986;1.0;Daegu;03.09.2011;Men;200 m
10210;7;00:00:19.440000;Yohan Blake;JAM;26.12.1989;2.0;London;09.08.2012;Men;200 m
10211;8;00:00:19.530000;Walter Dix;USA;31.01.1986;2.0;Bruxelles;16.09.2011;Men;200 m
10212;9;00:00:19.540000;Yohan Blake;JAM;26.12.1989;1.0;Bruxelles;07.09.2012;Men;200 m
10213;10;00:00:19.550000;Usain Bolt;JAM;21.08.1986;1.0;Beijing;27.08.2015;Men;200 m
10214;11;00:00:19.560000;Usain Bolt;JAM;21.08.1986;1.0;Kingston;01.05.2010;Men;200 m
10215;12;00:00:19.570000;Usain Bolt;JAM;21.08.1986;1.0;Bruxelles;04.09.2009;Men;200 m
10216;12;00:00:19.570000;Justin Gatlin;USA;10.02.1982;1.0;Eugene;28.06.2015;Men;200 m
10217;14;00:00:19.580000;Tyson Gay;USA;09.08.1982;1.0;New York City;30.05.2009;Men;200 m
10218;14;00:00:19.580000;Usain Bolt;JAM;21.08.1986;1.0;Lausanne;23.08.2012;Men;200 m
